tripletId,ans1,ans2,ans3
t1396,b,b,b
t1397,a,b,a
t1398,a,a,a
t1399,b,b,b
t1400,a,a,b
t1401,b,b,a
t1402,a,b,a
t1403,a,a,b
t1404,a,b,b
t1405,b,b,a
t1406,a,a,a
t1407,a,b,b
t1408,a,b,a
t1409,b,b,b
t1410,a,a,a
t1411,b,b,b
t1412,b,b,b
t1413,a,b,a
t1414,a,a,b
t1415,a,b,b
t1416,b,b,a
t1417,b,a,b
t1418,a,a,a
t1419,b,a,b
t1420,a,b,a
t1421,a,b,b
t1422,b,b,b
t1423,a,b,b
t1424,a,b,a
t1425,b,b,b
t1426,a,b,a
t1427,b,b,a
t1428,a,b,b
t1429,b,b,a
t1430,b,b,a
t1431,b,b,b
t1432,b,a,b
t1433,a,b,a
t1434,b,a,b
t1435,b,b,a
t1436,b,a,b
t1437,b,b,a
t1438,a,a,b
t1439,b,b,b
t1440,a,b,a
t1441,b,b,a
t1442,b,a,a
t1443,a,b,b
t1444,a,a,b
t1445,b,b,a
t1446,b,b,a
t1447,b,b,a
t1448,a,a,a
t1449,b,b,b
t1450,a,b,a
t1451,b,b,b
t1452,b,b,a
t1453,a,a,b
t1454,b,b,a
t1455,b,b,b
t1456,a,b,b
t1457,b,b,b
t1458,a,a,a
t1459,b,b,b
t1460,b,b,b
t1461,b,a,a
t1462,b,b,a
t1463,a,b,a
t1464,b,b,a
t1465,b,a,a
t1466,b,b,a
t1467,b,a,a
t1468,a,a,a
t1469,b,b,a
t1470,b,a,b
t1471,b,b,a
t1472,b,b,a
t1473,a,b,a
t1474,b,b,b
t1475,b,b,b
t1476,a,b,b
t1477,a,b,a
t1478,b,b,a
t1479,b,b,b
t1480,a,b,b
t1481,b,b,a
t1482,b,b,a
t1483,a,b,b
t1484,a,a,b
t1485,b,b,a
t1486,b,a,a
t1487,a,a,b
t1488,a,b,b
t1489,b,b,a
t1490,a,b,a
t1491,b,b,b
t1492,b,b,b
t1493,a,a,a
t1494,b,b,a
t1495,b,b,b
t1496,b,b,a
t1497,b,b,b
t1498,b,a,a
t1499,b,b,b
t1500,b,b,a
t1501,b,b,a
t1502,b,b,b
t1503,a,a,b
t1504,b,b,b
t1505,b,a,a
t1506,b,b,a
t1507,b,a,a
t1508,a,b,b
t1509,b,b,a
t1510,b,b,a
t1511,b,b,b
t1512,a,a,b
t1513,a,a,a
t1514,a,b,a
t1515,a,a,b
t1516,b,b,b
t1517,b,a,a
t1518,a,a,a
t1519,b,a,a
t1520,a,b,b
t1521,a,a,b
t1522,b,b,a
t1523,a,a,b
t1524,a,a,b
t1525,b,b,a
t1526,b,b,a
t1527,b,b,a
t1528,b,a,a
t1529,a,a,b
t1530,b,b,a
t1531,a,a,b
t1532,a,b,b
t1533,b,b,a
t1534,a,a,a
t1535,b,b,b
t1536,a,b,b
t1537,b,b,b
t1538,b,a,a
t1539,b,b,b
t1540,a,a,b
t1541,b,b,a
t1542,a,a,a
t1543,a,b,a
t1544,b,b,a
t1545,a,b,a
t1546,a,a,a
t1547,b,b,b
t1548,a,a,a
t1549,b,b,a
t1550,b,a,b
t1551,b,a,b
t1552,b,a,b
t1553,a,b,b
t1554,b,a,a
t1555,a,a,b
t1556,b,b,b
t1557,b,a,a
t1558,b,b,a
t1559,b,a,b
t1560,b,b,b
t1561,b,b,a
t1562,a,b,a
t1563,a,b,b
t1564,a,a,b
t1565,b,a,a
t1566,a,a,a
t1567,b,a,a
t1568,b,b,b
t1569,b,a,b
t1570,b,b,a
t1571,b,b,b
t1572,b,a,b
t1573,a,b,a
t1574,a,a,a
t1575,b,b,a
t1576,a,b,a
t1577,b,b,a
t1578,a,a,a
t1579,b,a,b
t1580,a,b,a
t1581,b,b,a
t1582,a,b,b
t1583,a,b,b
t1584,b,b,b
t1585,a,b,a
t1586,a,b,a
t1587,b,a,a
t1588,a,a,b
t1589,b,b,a
t1590,a,a,a
t1591,b,a,b
t1592,b,a,b
t1593,a,a,a
t1594,b,a,b
t1595,b,b,b
t1596,a,b,a
t1597,b,b,a
t1598,a,a,a
t1599,b,a,b
t1600,a,b,a
t1601,a,a,a
t1602,a,a,a
t1603,a,b,b
t1604,a,a,b
t1605,a,a,a
t1606,a,a,a
t1607,b,b,a
t1608,b,a,a
t1609,a,a,b
t1610,b,a,a
t1611,a,a,b
t1612,a,a,a
t1613,a,b,a
t1614,a,a,a
t1615,a,b,b
t1616,a,a,b
t1617,b,a,a
t1618,b,b,b
t1619,a,b,a
t1620,b,a,a
t1621,a,a,a
t1622,a,a,a
t1623,a,b,a
t1624,a,a,a
t1625,a,b,a
t1626,a,a,a
t1627,b,b,b
t1628,a,b,a
t1629,a,a,a
t1630,b,b,b
t1631,a,a,a
t1632,a,a,b
t1633,a,a,b
t1634,a,a,a
t1635,a,b,b
t1636,a,a,b
t1637,b,b,a
t1638,a,a,a
t1639,a,b,b
t1640,a,a,b
t1641,a,a,a
t1642,a,a,a
t1643,a,a,b
t1644,a,a,b
t1645,a,a,a
t1646,a,a,b
t1647,b,b,b
t1648,b,a,a
t1649,a,a,b
t1650,a,b,a
t1651,a,b,b
t1652,a,a,a
t1653,a,a,a
t1654,a,a,a
t1655,a,a,b
t1656,a,a,b
t1657,b,a,b
t1658,a,b,a
t1659,a,a,b
t1660,b,b,b
t1661,a,a,b
t1662,a,a,b
t1663,a,a,a
t1664,a,a,b
t1665,a,a,b
t1666,a,a,a
t1667,b,b,a
t1668,a,b,b
t1669,a,a,a
t1670,b,a,a
t1671,a,b,b
t1672,b,a,b
t1673,a,b,a
t1674,a,a,b
t1675,b,a,b
t1676,a,a,b
t1677,a,b,a
t1678,a,b,b
t1679,a,a,b
t1680,b,b,b
t1681,a,a,a
t1682,a,a,a
t1683,a,b,b
t1684,a,a,b
t1685,b,a,a
t1686,b,a,a
t1687,b,b,a
t1688,b,b,a
t1689,a,a,b
t1690,a,a,a
t1691,a,a,b
t1692,a,a,a
t1693,a,b,b
t1694,a,a,a
t1695,a,a,b
t1696,a,a,b
t1697,b,b,b
t1698,a,a,b
t1699,a,b,a
t1700,b,a,a
t1701,a,a,a
t1702,a,a,a
t1703,a,a,a
t1704,a,a,a
t1705,b,a,a
t1706,a,a,a
t1707,b,b,a
t1708,a,b,a
t1709,a,a,a
t1710,b,a,b
t1711,a,a,a
t1712,a,a,a
t1713,a,b,b
t1714,b,a,a
t1715,a,a,b
t1716,a,a,b
t1717,b,b,a
t1718,a,a,a
t1719,a,b,a
t1720,a,b,b
t1721,a,a,a
t1722,a,a,a
t1723,a,a,a
t1724,a,a,b
t1725,a,a,b
t1726,a,a,b
t1727,b,b,a
t1728,a,a,b
t1729,a,a,b
t1730,b,b,a
t1731,a,a,b
t1732,a,a,b
t1733,a,a,a
t1734,a,a,b
t1735,b,b,b
t1736,a,a,b
t1737,b,b,b
t1738,b,b,b
t1739,a,a,b
t1740,a,a,a
t1741,a,a,b
t1742,a,a,b
t1743,a,a,b
t1744,a,a,b
t1745,a,a,a
t1746,b,a,a
t1747,b,b,a
t1748,a,a,b
t1749,a,a,b
t1750,b,b,a
t1751,a,a,b
t1752,a,a,b
t1753,a,a,a
t1754,a,a,b
t1755,b,a,a
t1756,a,a,b
t1757,b,a,a
t1758,a,a,b
t1759,a,a,b
t1760,a,a,a
t1761,a,a,a
t1762,a,a,a
t1763,a,b,b
t1764,a,b,b
t1765,b,a,a
t1766,a,a,a
t1767,b,b,b
t1768,a,a,a
t1769,a,b,b
t1770,b,b,a
t1771,a,a,b
t1772,a,a,b
t1773,a,b,a
t1774,a,a,a
t1775,a,a,b
t1776,a,a,b
t1777,b,b,b
t1778,a,a,a
t1779,a,a,b
t1780,a,a,b
t1781,a,a,a
t1782,a,a,b
t1783,a,a,a
t1784,a,b,a
t1785,a,a,a
t1786,a,a,a
t1787,b,b,b
t1788,b,b,a
t1789,a,b,a
t1790,a,a,b
t1791,a,a,a
t1792,a,a,a
t1793,a,a,b
t1794,a,a,a
t1795,a,b,b
t1796,a,a,b
t1797,b,a,a
t1798,a,b,a
t1799,a,b,b
t1800,a,a,b
t1801,a,a,a
t1802,a,a,a
t1803,a,b,b
t1804,a,a,b
t1805,a,a,a
t1806,a,a,a
t1807,b,b,b
t1808,a,a,b
t1809,a,a,b
t1810,a,b,a
t1811,b,a,b
t1812,a,a,b
t1813,b,b,a
t1814,a,a,b
t1815,a,a,b
t1816,a,a,b
t1817,a,a,a
t1818,a,a,a
t1819,a,b,b
t1820,b,a,b
t1821,a,a,a
t1822,a,a,b
t1823,a,a,a
t1824,a,a,b
t1825,b,a,a
t1826,a,a,a
t1827,b,b,a
t1828,a,b,b
t1829,a,a,a
t1830,a,a,a
t1831,a,a,b
t1832,a,a,b
t1833,b,b,a
t1834,a,b,a
t1835,a,a,b
t1836,a,a,b
t1837,b,b,a
t1838,a,b,b
t1839,b,a,b
t1840,a,a,b
t1841,a,a,b
t1842,a,a,a
t1843,a,b,b
t1844,a,a,b
t1845,a,a,a
t1846,a,a,a
t1847,a,b,a
t1848,a,a,a
t1849,a,b,b
t1850,a,a,a
t1851,a,a,b
t1852,a,a,b
t1853,a,a,a
t1854,a,a,a
t1855,a,a,b
t1856,a,a,b
t1857,b,b,b
t1858,b,b,a
t1859,a,a,b
t1860,a,b,b
t1861,a,a,a
t1862,a,a,a
t1863,b,b,a
t1864,a,a,a
t1865,a,a,b
t1866,b,a,a
t1867,b,b,b
t1868,a,b,a
t1869,b,a,a
t1870,b,b,b
t1871,a,b,a
t1872,a,a,b
t1873,a,a,a
t1874,a,a,a
t1875,b,b,b
t1876,a,a,b
t1877,a,b,a
t1878,a,b,a
t1879,a,a,b
t1880,a,a,b
t1881,a,a,a
t1882,a,a,a
t1883,b,b,b
t1884,a,a,b
t1885,a,a,a
t1886,a,a,a
t1887,a,b,b
t1888,b,a,b
t1889,a,a,b
t1890,b,a,a
t1891,a,a,b
t1892,a,a,b
t1893,b,a,a
t1894,a,a,a
t1895,b,b,a
t1896,a,a,b
t1897,b,a,b
t1898,a,a,a
t1899,a,a,b
t1900,a,b,b
t1901,a,a,a
t1902,a,a,b
t1903,a,a,b
t1904,a,a,a
t1905,b,a,a
t1906,a,a,a
t1907,b,a,a
t1908,a,b,b
t1909,a,a,a
t1910,a,b,a
t1911,a,a,b
t1912,a,a,b
t1913,a,a,a
t1914,a,b,a
t1915,a,a,a
t1916,a,a,b
t1917,a,b,a
t1918,a,b,a
t1919,a,a,a
t1920,b,b,a
t1921,a,a,a
t1922,a,b,a
t1923,a,b,a
t1924,a,a,b
t1925,b,a,a
t1926,a,a,a
t1927,a,b,a
t1928,a,b,a
t1929,a,a,a
t1930,b,a,a
t1931,a,a,b
t1932,a,a,b
t1933,a,a,a
t1934,a,a,b
t1935,a,a,b
t1936,a,a,a
t1937,b,a,b
t1938,b,b,a
t1939,a,a,b
t1940,b,a,b
t1941,a,a,a
t1942,a,a,a
t1943,a,a,a
t1944,a,a,a
t1945,a,a,a
t1946,a,a,a
t1947,a,b,a
t1948,a,b,b
t1949,a,b,a
t1950,a,b,b
t1951,a,a,a
t1952,a,a,a
t1953,b,a,a
t1954,a,a,a
t1955,a,b,b
t1956,a,a,b
t1957,b,b,b
t1958,a,b,a
t1959,a,a,b
t1960,a,b,b
t1961,a,a,a
t1962,a,b,a
t1963,b,b,b
t1964,a,a,a
t1965,a,a,a
t1966,a,a,b
t1967,b,b,b
t1968,a,b,b
t1969,a,a,a
t1970,a,b,a
t1971,a,a,b
t1972,a,a,b
t1973,a,a,a
t1974,a,a,b
t1975,a,a,a
t1976,a,a,b
t1977,b,b,b
t1978,a,b,a
t1979,a,a,b
t1980,a,a,b
t1981,a,a,b
t1982,a,a,b
t1983,a,a,b
t1984,a,b,b
t1985,a,a,b
t1986,a,a,a
t1987,a,b,b
t1988,a,b,b
t1989,a,a,a
t1990,a,a,a
t1991,a,a,b
t1992,a,a,b
t1993,a,a,a
t1994,a,a,b
t1995,a,a,b
t1996,a,a,b
t1997,b,b,a
t1998,a,a,a
t1999,a,a,a
t2000,a,a,b
t2001,a,a,a
t2002,a,a,a
t2003,a,a,b
t2004,a,a,b
t2005,a,a,a
t2006,a,a,a
t2007,b,b,a
t2008,a,b,a
t2009,a,a,b
t2010,a,a,a
t2011,a,a,b
t2012,a,a,b
t2013,a,a,a
t2014,a,a,a
t2015,a,a,b
t2016,a,a,b
t2017,b,b,b
t2018,b,b,a
t2019,a,a,b
t2020,a,a,b
t2021,a,a,a
t2022,b,b,a
t2023,a,a,a
t2024,a,a,a
t2025,a,a,a
t2026,a,b,a
t2027,b,b,a
t2028,b,a,b
t2029,a,b,a
t2030,b,a,b
t2031,a,a,a
t2032,a,a,a
t2033,a,a,a
t2034,a,a,a
t2035,a,a,b
t2036,a,a,b
t2037,b,b,a
t2038,b,b,a
t2039,a,a,b
t2040,a,a,b
t2041,a,a,a
t2042,a,a,a
t2043,a,a,b
t2044,a,a,b
t2045,a,b,a
t2046,a,a,b
t2047,b,b,b
t2048,b,a,b
t2049,a,a,b
t2050,a,a,a
t2051,a,a,b
t2052,a,a,b
t2053,b,a,a
t2054,a,a,a
t2055,a,a,b
t2056,a,a,a
t2057,a,b,a
t2058,a,a,a
t2059,a,a,b
t2060,a,a,b
t2061,a,a,b
t2062,a,a,a
t2063,a,b,b
t2064,a,a,b
t2065,a,a,a
t2066,a,a,a
t2067,b,a,a
t2068,a,a,b
t2069,a,b,a
t2070,b,b,a
t2071,a,a,b
t2072,a,a,b
t2073,a,b,a
t2074,a,a,a
t2075,b,a,b
t2076,a,a,b
t2077,b,b,a
t2078,b,a,a
t2079,a,a,a
t2080,a,a,b
t2081,a,a,a
t2082,a,a,a
t2083,a,a,b
t2084,a,a,b
t2085,a,b,a
t2086,a,a,a
t2087,b,b,a
t2088,b,a,a
t2089,a,a,a
t2090,a,a,a
t2091,a,a,b
t2092,a,a,b
t2093,a,a,b
t2094,a,a,b
t2095,a,b,b
t2096,a,a,b
t2097,b,a,b
t2098,b,a,a
t2099,b,a,b
t2100,b,a,b
t2101,a,b,a
t2102,a,a,a
t2103,a,b,a
t2104,a,a,a
t2105,a,a,a
t2106,a,b,a
t2107,b,b,b
t2108,a,b,a
t2109,b,a,a
t2110,a,b,b
t2111,a,a,a
t2112,a,a,a
t2113,a,b,a
t2114,a,a,b
t2115,a,a,b
t2116,a,a,b
t2117,a,b,a
t2118,a,a,a
t2119,a,a,b
t2120,a,b,b
t2121,a,a,a
t2122,a,a,a
t2123,a,a,b
t2124,a,a,b
t2125,b,a,a
t2126,a,a,a
t2127,b,b,b
t2128,b,a,b
t2129,a,a,a
t2130,b,a,a
t2131,a,a,b
t2132,a,a,b
t2133,a,a,a
t2134,a,a,b
t2135,a,a,a
t2136,a,a,b
t2137,b,b,b
t2138,b,a,a
t2139,a,b,b
t2140,b,a,a
t2141,a,b,a
t2142,a,a,b
t2143,a,a,b
t2144,a,a,b
t2145,b,a,a
t2146,a,a,a
t2147,b,b,a
t2148,b,b,b
t2149,a,a,a
t2150,b,b,a
t2151,a,a,b
t2152,a,a,b
t2153,a,b,a
t2154,a,a,a
t2155,a,a,b
t2156,a,a,b
t2157,b,b,a
t2158,b,b,b
t2159,a,a,b
t2160,a,a,b
t2161,a,a,a
t2162,a,a,a
t2163,a,b,b
t2164,a,a,b
t2165,a,a,a
t2166,a,a,a
t2167,b,a,a
t2168,b,a,a
t2169,a,a,a
t2170,a,b,a
t2171,a,a,b
t2172,a,a,b
t2173,a,a,a
t2174,a,a,b
t2175,b,b,b
t2176,a,a,b
t2177,b,b,b
t2178,b,a,a
t2179,a,b,b
t2180,a,b,b
t2181,a,a,a
t2182,a,a,a
t2183,a,b,a
t2184,a,a,a
t2185,b,a,b
t2186,b,a,a
t2187,b,b,b
t2188,a,a,b
t2189,a,a,a
t2190,b,a,b
t2191,a,b,a
t2192,a,a,a
t2193,a,a,a
t2194,a,a,a
t2195,a,a,b
t2196,b,a,b
t2197,b,b,a
t2198,b,b,a
t2199,a,a,b
t2200,b,a,b
t2201,a,a,a
t2202,a,a,a
t2203,a,b,b
t2204,a,a,b
t2205,a,a,a
t2206,a,a,a
t2207,b,b,b
t2208,b,b,b
t2209,a,a,b
t2210,a,a,a
t2211,a,a,b
t2212,a,a,b
t2213,b,b,a
t2214,a,a,a
t2215,a,a,a
t2216,a,a,a
t2217,b,b,b
t2218,b,a,a
t2219,a,a,b
t2220,a,a,b
t2221,a,a,b
t2222,a,a,b
t2223,a,a,a
t2224,a,a,a
t2225,a,a,a
t2226,a,a,a
t2227,b,a,a
t2228,b,b,b
t2229,a,b,a
t2230,b,a,a
t2231,a,a,a
t2232,a,b,b
t2233,a,a,a
t2234,a,a,b
t2235,b,a,b
t2236,b,a,b
t2237,b,b,a
t2238,b,b,b
t2239,a,a,b
t2240,b,b,a
t2241,a,a,a
t2242,a,a,a
t2243,a,a,b
t2244,a,a,b
t2245,b,b,a
t2246,a,a,a
t2247,b,a,a
t2248,b,a,a
t2249,a,a,b
t2250,a,b,a
t2251,a,a,b
t2252,a,a,b
t2253,a,a,a
t2254,a,b,a
t2255,b,a,b
t2256,a,a,b
t2257,b,b,b
t2258,b,b,a
t2259,a,a,b
t2260,a,a,a
t2261,a,a,a
t2262,a,b,a
t2263,a,a,a
t2264,a,a,a
t2265,a,a,a
t2266,a,a,a
t2267,b,b,b
t2268,b,b,b
t2269,a,a,a
t2270,a,a,b
t2271,a,b,a
t2272,a,a,a
t2273,a,b,a
t2274,a,a,a
t2275,a,a,b
t2276,a,a,b
t2277,b,b,a
t2278,b,b,a
t2279,a,a,b
t2280,b,a,b
t2281,a,b,a
t2282,a,a,a
t2283,a,b,b
t2284,a,a,b
t2285,a,b,a
t2286,a,a,a
t2287,b,b,b
t2288,a,a,b
t2289,a,a,b
t2290,b,a,a
t2291,a,a,b
t2292,a,a,b
t2293,a,a,a
t2294,a,a,a
t2295,a,a,b
t2296,a,a,b
t2297,b,b,b
t2298,b,b,a
t2299,a,a,b
t2300,b,b,a
t2301,a,a,b
t2302,a,a,b
t2303,b,b,b
t2304,a,a,b
t2305,a,a,a
t2306,a,a,a
t2307,b,b,b
t2308,b,b,b
t2309,a,b,a
t2310,b,b,a
t2311,a,a,b
t2312,a,a,b
t2313,a,b,a
t2314,a,a,a
t2315,b,b,b
t2316,a,b,b
t2317,b,a,a
t2318,b,b,a
t2319,b,b,a
t2320,a,b,a
t2321,a,a,a
t2322,a,b,a
t2323,a,a,b
t2324,a,a,b
t2325,a,a,a
t2326,b,a,a
t2327,b,b,a
t2328,b,b,a
t2329,a,a,b
t2330,a,a,a
t2331,a,a,b
t2332,a,a,b
t2333,a,a,b
t2334,a,a,a
t2335,b,a,b
t2336,a,a,b
t2337,a,b,b
t2338,b,b,a
t2339,a,a,b
t2340,b,a,a
t2341,a,a,a
t2342,a,a,a
t2343,a,b,a
t2344,a,a,a
t2345,a,a,a
t2346,a,a,a
t2347,b,b,b
t2348,b,b,b
t2349,a,b,a
t2350,a,b,b
t2351,a,a,b
t2352,a,a,a
t2353,b,a,a
t2354,b,a,a
t2355,a,b,b
t2356,a,a,b
t2357,b,b,a
t2358,b,b,a
t2359,a,b,b
t2360,a,a,b
t2361,a,a,a
t2362,a,a,a
t2363,a,a,b
t2364,a,a,b
t2365,b,b,a
t2366,a,a,a
t2367,a,b,a
t2368,b,a,b
t2369,b,a,b
t2370,b,b,a
t2371,a,a,b
t2372,a,a,b
t2373,a,a,a
t2374,a,a,a
t2375,a,b,a
t2376,a,a,b
t2377,b,a,a
t2378,a,b,a
t2379,a,a,b
t2380,a,a,a
t2381,a,a,a
t2382,a,a,b
t2383,b,a,b
t2384,a,a,b
t2385,a,a,b
t2386,b,a,a
t2387,b,b,a
t2388,b,a,b
t2389,a,a,a
t2390,a,a,a
t2391,a,a,a
t2392,a,a,b
t2393,a,b,a
t2394,b,a,b
t2395,b,b,b
t2396,a,a,b
t2397,b,a,a
t2398,a,a,b
t2399,a,a,a
t2400,b,b,a
t2401,a,a,a
t2402,b,a,a
t2403,a,a,b
t2404,a,a,b
t2405,b,b,a
t2406,b,b,a
t2407,a,a,a
t2408,a,a,a
t2409,b,b,b
t2410,b,a,a
t2411,a,a,b
t2412,a,b,b
t2413,a,a,a
t2414,a,a,a
t2415,b,b,b
t2416,b,b,b
t2417,a,a,a
t2418,a,a,a
t2419,b,b,b
t2420,b,b,b
t2421,a,a,a
t2422,a,a,a
t2423,a,a,a
t2424,b,a,a
t2425,b,b,a
t2426,b,b,a
t2427,a,a,b
t2428,a,a,b
t2429,b,b,a
t2430,b,b,b
t2431,b,a,a
t2432,a,a,a
t2433,a,a,a
t2434,b,a,a
t2435,b,b,b
t2436,b,b,b
t2437,a,a,a
t2438,a,a,a
t2439,b,b,b
t2440,a,b,b
t2441,b,b,a
t2442,b,b,a
t2443,b,a,b
t2444,a,a,b
t2445,b,b,a
t2446,b,b,a
t2447,a,a,b
t2448,a,a,b
t2449,b,b,b
t2450,b,b,a
t2451,a,a,b
t2452,b,b,b
t2453,a,a,a
t2454,a,b,a
t2455,b,b,a
t2456,b,b,a
t2457,a,a,a
t2458,a,a,a
t2459,b,a,b
t2460,a,b,a
t2461,a,b,a
t2462,b,a,b
t2463,a,a,b
t2464,a,b,b
t2465,b,b,a
t2466,b,b,a
t2467,a,a,a
t2468,a,a,b
t2469,b,b,a
t2470,b,b,a
t2471,b,a,b
t2472,b,b,b
t2473,a,a,a
t2474,a,a,a
t2475,b,b,b
t2476,b,b,b
t2477,a,a,a
t2478,b,a,b
t2479,a,a,b
t2480,b,b,a
t2481,b,b,a
t2482,b,b,a
t2483,a,a,b
t2484,b,b,b
t2485,b,b,a
t2486,b,b,a
t2487,a,a,a
t2488,a,a,a
t2489,b,b,a
t2490,b,b,a
t2491,a,a,b
t2492,b,b,b
t2493,a,a,b
t2494,a,b,a
t2495,b,b,b
t2496,b,b,b
t2497,a,a,b
t2498,b,a,a
t2499,b,b,a
t2500,b,b,b
t2501,b,a,a
t2502,b,b,a
t2503,a,a,a
t2504,a,b,a
t2505,b,b,a
t2506,b,b,a
t2507,a,a,a
t2508,b,a,b
t2509,b,b,a
t2510,b,b,b
t2511,a,a,b
t2512,a,b,a
t2513,a,b,b
t2514,b,b,a
t2515,b,b,b
t2516,b,b,b
t2517,a,a,a
t2518,a,a,a
t2519,b,b,b
t2520,a,b,b
t2521,a,b,a
t2522,a,a,a
t2523,a,a,a
t2524,a,b,b
t2525,b,b,a
t2526,b,b,b
t2527,a,b,b
t2528,b,a,b
t2529,b,b,b
t2530,b,a,a
t2531,b,a,b
t2532,b,a,b
t2533,a,b,a
t2534,b,a,a
t2535,b,b,a
t2536,b,b,b
t2537,a,a,b
t2538,a,a,a
t2539,b,b,b
t2540,b,b,a
t2541,a,b,b
t2542,b,b,b
t2543,a,a,a
t2544,b,a,a
t2545,b,b,a
t2546,b,b,a
t2547,a,a,a
t2548,a,a,b
t2549,b,b,a
t2550,a,b,a
t2551,a,a,a
t2552,b,b,b
t2553,a,a,a
t2554,b,b,a
t2555,b,b,b
t2556,b,b,b
t2557,a,a,a
t2558,a,a,b
t2559,b,b,b
t2560,a,b,b
t2561,b,a,a
t2562,a,b,a
t2563,a,a,b
t2564,a,b,b
t2565,b,b,a
t2566,b,b,a
t2567,a,a,a
t2568,a,a,a
t2569,b,b,a
t2570,a,b,a
t2571,b,b,b
t2572,b,b,b
t2573,a,a,a
t2574,a,b,a
t2575,b,b,a
t2576,b,b,b
t2577,a,b,a
t2578,a,a,a
t2579,b,b,b
t2580,b,b,b
t2581,b,a,a
t2582,b,a,a
t2583,a,a,a
t2584,b,b,a
t2585,b,b,a
t2586,b,b,a
t2587,a,a,a
t2588,a,b,a
t2589,b,b,a
t2590,b,b,b
t2591,a,a,a
t2592,a,b,a
t2593,a,a,a
t2594,b,b,a
t2595,b,b,b
t2596,b,b,b
t2597,a,a,a
t2598,b,a,a
t2599,b,b,b
t2600,b,b,b
t2601,a,b,a
t2602,b,b,a
t2603,a,a,b
t2604,b,a,b
t2605,b,b,a
t2606,b,b,a
t2607,a,b,a
t2608,b,a,b
t2609,b,a,b
t2610,b,b,a
t2611,a,a,b
t2612,b,b,b
t2613,a,a,a
t2614,b,b,a
t2615,b,b,a
t2616,b,b,a
t2617,a,a,b
t2618,a,a,a
t2619,b,a,b
t2620,b,b,a
t2621,b,b,a
t2622,a,a,b
t2623,a,a,b
t2624,a,a,b
t2625,b,b,a
t2626,b,b,a
t2627,b,a,a
t2628,a,a,b
t2629,b,b,a
t2630,b,b,a
t2631,b,a,b
t2632,b,b,b
t2633,a,a,a
t2634,b,a,a
t2635,b,b,b
t2636,b,b,b
t2637,a,a,a
t2638,b,a,a
t2639,b,b,a
t2640,a,b,b
t2641,a,a,a
t2642,b,b,a
t2643,a,a,b
t2644,b,a,a
t2645,b,b,a
t2646,b,b,a
t2647,a,a,a
t2648,a,a,a
t2649,b,b,b
t2650,b,b,a
t2651,b,b,b
t2652,b,b,b
t2653,a,a,a
t2654,b,b,b
t2655,b,b,b
t2656,b,b,a
t2657,a,a,b
t2658,a,a,a
t2659,b,b,b
t2660,b,b,a
t2661,a,a,a
t2662,a,b,a
t2663,b,a,a
t2664,b,b,a
t2665,b,b,a
t2666,b,b,a
t2667,a,a,b
t2668,b,a,b
t2669,b,b,a
t2670,b,b,b
t2671,b,a,a
t2672,b,b,b
t2673,b,a,a
t2674,b,b,b
t2675,b,b,b
t2676,b,b,b
t2677,a,b,a
t2678,a,a,a
t2679,b,a,b
t2680,a,b,b
t2681,b,a,a
t2682,a,b,a
t2683,a,a,b
t2684,b,a,b
t2685,b,b,a
t2686,b,b,a
t2687,a,a,b
t2688,b,a,b
t2689,b,b,b
t2690,b,b,a
t2691,b,b,b
t2692,b,b,b
t2693,a,b,a
t2694,b,b,b
t2695,b,b,b
t2696,b,b,b
t2697,a,a,b
t2698,a,b,b
t2699,b,b,b
t2700,a,b,a
t2701,b,a,a
t2702,a,a,b
t2703,a,a,b
t2704,b,b,a
t2705,b,b,a
t2706,b,b,b
t2707,a,a,b
t2708,a,a,b
t2709,b,b,a
t2710,b,b,a
t2711,a,a,a
t2712,b,b,b
t2713,a,b,a
t2714,b,b,a
t2715,b,b,b
t2716,b,b,b
t2717,a,a,a
t2718,a,a,a
t2719,b,b,a
t2720,b,b,a
t2721,a,b,a
t2722,a,a,a
t2723,a,a,b
t2724,b,b,b
t2725,b,b,a
t2726,b,b,a
t2727,a,a,a
t2728,a,b,a
t2729,b,b,a
t2730,a,b,a
t2731,b,b,b
t2732,b,b,b
t2733,a,a,b
t2734,b,b,a
t2735,b,b,b
t2736,b,b,b
t2737,a,a,b
t2738,a,a,a
t2739,b,b,b
t2740,b,b,a
t2741,b,a,a
t2742,a,a,a
t2743,a,a,a
t2744,b,b,a
t2745,b,b,a
t2746,b,b,a
t2747,a,a,a
t2748,a,a,b
t2749,b,b,a
t2750,b,a,b
t2751,a,b,a
t2752,b,b,a
t2753,b,a,a
t2754,b,b,a
t2755,b,b,b
t2756,b,b,b
t2757,a,a,a
t2758,b,a,a
t2759,b,b,b
t2760,a,b,b
t2761,b,a,b
t2762,b,a,a
t2763,a,a,b
t2764,b,b,b
t2765,b,b,a
t2766,b,b,a
t2767,a,a,b
t2768,a,a,b
t2769,b,b,b
t2770,b,a,a
t2771,a,a,b
t2772,a,a,b
t2773,a,a,a
t2774,b,b,a
t2775,b,b,b
t2776,b,b,b
t2777,a,a,a
t2778,a,a,a
t2779,b,b,b
t2780,b,b,b
t2781,b,a,a
t2782,a,b,b
t2783,a,a,b
t2784,b,b,a
t2785,b,b,a
t2786,b,b,a
t2787,a,a,b
t2788,a,a,b
t2789,b,b,a
t2790,b,b,a
t2791,b,b,a
t2792,a,a,b
t2793,a,a,a
